,metric,alpha,mse
0,w_Hengaging,0.0,4.305025446403325
1,w_Hengaging,0.01,4.3050279361610455
2,w_Hengaging,0.016838980323928915,4.305032531558401
3,w_Hengaging,0.02835512583496652,4.3050455996126535
4,w_Hengaging,0.047747140601752946,4.305082802367965
5,w_Hengaging,0.08040131611167854,4.305189545326107
6,w_Hengaging,0.13538761800225438,4.305490117286153
7,w_Hengaging,0.2279789435643565,4.306340326036182
8,w_Hengaging,0.38389329449502996,4.308744343060905
9,w_Hengaging,0.6464371632490059,4.315437808137926
10,w_Hengaging,1.0885342672606435,4.333161233333369
11,w_Hengaging,1.8329807108324356,4.363916735903933
12,w_Hengaging,3.086552612384862,4.386271891889569
13,w_Hengaging,5.197439870872004,4.4405101236894104
14,w_Hengaging,8.751958772041732,4.489719913010554
15,w_Hengaging,14.73740615582478,4.511679432189214
16,w_Hengaging,24.816289228368237,4.5384689660995265
17,w_Hengaging,41.78810060294219,4.614430727897327
18,w_Hengaging,70.36690038273056,4.826182637118818
19,w_Hengaging,118.4906851000666,5.083333333333334
20,w_Hengaging,199.52623149688787,5.083333333333334
21,w_Hengaging,0.0,4.305025446403325
22,w_Hengaging,0.01,4.3050279361610455
23,w_Hengaging,0.016838980323928915,4.305032531558401
24,w_Hengaging,0.02835512583496652,4.3050455996126535
25,w_Hengaging,0.047747140601752946,4.305082802367965
26,w_Hengaging,0.08040131611167854,4.305189545326107
27,w_Hengaging,0.13538761800225438,4.305490117286153
28,w_Hengaging,0.2279789435643565,4.306340326036182
29,w_Hengaging,0.38389329449502996,4.308744343060905
30,w_Hengaging,0.6464371632490059,4.315437808137926
31,w_Hengaging,1.0885342672606435,4.333161233333369
32,w_Hengaging,1.8329807108324356,4.363916735903933
33,w_Hengaging,3.086552612384862,4.386271891889569
34,w_Hengaging,5.197439870872004,4.4405101236894104
35,w_Hengaging,8.751958772041732,4.489719913010554
36,w_Hengaging,14.73740615582478,4.511679432189214
37,w_Hengaging,24.816289228368237,4.5384689660995265
38,w_Hengaging,41.78810060294219,4.614430727897327
39,w_Hengaging,70.36690038273056,4.826182637118818
40,w_Hengaging,118.4906851000666,5.083333333333334
41,w_Hengaging,199.52623149688787,5.083333333333334
42,w_Hengaging,0.0,4.305025446403325
43,w_Hengaging,0.01,4.3050279361610455
44,w_Hengaging,0.016838980323928915,4.305032531558401
45,w_Hengaging,0.02835512583496652,4.3050455996126535
46,w_Hengaging,0.047747140601752946,4.305082802367965
47,w_Hengaging,0.08040131611167854,4.305189545326107
48,w_Hengaging,0.13538761800225438,4.305490117286153
49,w_Hengaging,0.2279789435643565,4.306340326036182
