,metric,alpha,mse
0,w_Hoverall,0.0,0.500698963797367
1,w_Hoverall,0.01,0.5010569710138848
2,w_Hoverall,0.016838980323928915,0.5016912223674597
3,w_Hoverall,0.02835512583496652,0.5031799767171118
4,w_Hoverall,0.047747140601752946,0.5041439926894176
5,w_Hoverall,0.08040131611167854,0.506062460023953
6,w_Hoverall,0.13538761800225438,0.5103377980660752
7,w_Hoverall,0.2279789435643565,0.5137439903925838
8,w_Hoverall,0.38389329449502996,0.5184435105900477
9,w_Hoverall,0.6464371632490059,0.5317695759492971
10,w_Hoverall,1.0885342672606435,0.5693898631445741
11,w_Hoverall,1.8329807108324356,0.6572159245523501
12,w_Hoverall,3.086552612384862,0.75
13,w_Hoverall,5.197439870872004,0.75
14,w_Hoverall,8.751958772041732,0.75
15,w_Hoverall,14.73740615582478,0.75
16,w_Hoverall,24.816289228368237,0.75
17,w_Hoverall,41.78810060294219,0.75
18,w_Hoverall,70.36690038273056,0.75
19,w_Hoverall,118.4906851000666,0.75
20,w_Hoverall,199.52623149688787,0.75
21,w_Hoverall,0.0,0.500698963797367
22,w_Hoverall,0.01,0.5010569710138848
23,w_Hoverall,0.016838980323928915,0.5016912223674597
24,w_Hoverall,0.02835512583496652,0.5031799767171118
25,w_Hoverall,0.047747140601752946,0.5041439926894176
26,w_Hoverall,0.08040131611167854,0.506062460023953
27,w_Hoverall,0.13538761800225438,0.5103377980660752
28,w_Hoverall,0.2279789435643565,0.5137439903925838
29,w_Hoverall,0.38389329449502996,0.5184435105900477
30,w_Hoverall,0.6464371632490059,0.5317695759492971
31,w_Hoverall,1.0885342672606435,0.5693898631445741
32,w_Hoverall,1.8329807108324356,0.6572159245523501
33,w_Hoverall,3.086552612384862,0.75
34,w_Hoverall,5.197439870872004,0.75
35,w_Hoverall,8.751958772041732,0.75
36,w_Hoverall,14.73740615582478,0.75
37,w_Hoverall,24.816289228368237,0.75
38,w_Hoverall,41.78810060294219,0.75
